IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速MB/s
45.205.0.227,2096,TRUE,SJC,北美洲,圣何塞,254ms,15.41
45.205.0.32,2096,TRUE,SJC,北美洲,圣何塞,359ms,15.2
47.236.120.9,2096,TRUE,SIN,亚太,新加坡,196ms,15.18
206.238.237.177,2096,TRUE,SJC,北美洲,圣何塞,265ms,15.12
154.218.15.97,2096,TRUE,SJC,北美洲,圣何塞,163ms,15.1
47.236.164.65,2096,TRUE,SIN,亚太,新加坡,191ms,14.9
47.236.6.170,2096,TRUE,SIN,亚太,新加坡,211ms,14.86
45.205.0.95,2096,TRUE,SJC,北美洲,圣何塞,625ms,14.55
206.238.237.99,2096,TRUE,SJC,北美洲,圣何塞,733ms,14.41
8.219.208.104,2096,TRUE,SIN,亚太,新加坡,211ms,14.38
45.205.0.135,2096,TRUE,SJC,北美洲,圣何塞,321ms,14.29
206.238.236.69,2096,TRUE,SJC,北美洲,圣何塞,255ms,14.18
45.205.0.21,2096,TRUE,SJC,北美洲,圣何塞,174ms,14.13
206.238.236.9,2096,TRUE,SJC,北美洲,圣何塞,178ms,13.93
103.184.45.146,2096,TRUE,SJC,北美洲,圣何塞,285ms,13.9
206.238.236.182,2096,TRUE,SJC,北美洲,圣何塞,278ms,13.86
8.222.145.43,2096,TRUE,SIN,亚太,新加坡,202ms,13.78
206.238.236.104,2096,TRUE,SJC,北美洲,圣何塞,229ms,13.4
45.205.0.254,2096,TRUE,SJC,北美洲,圣何塞,318ms,13.29
45.205.0.45,2096,TRUE,SJC,北美洲,圣何塞,337ms,13.27
154.218.15.244,2096,TRUE,SJC,北美洲,圣何塞,283ms,12.96
47.236.99.59,2096,TRUE,SIN,亚太,新加坡,216ms,12.91
47.236.99.59,2096,TRUE,SIN,亚太,新加坡,214ms,12.88
206.238.236.105,2096,TRUE,SJC,北美洲,圣何塞,280ms,12.79
45.205.0.52,2096,TRUE,SJC,北美洲,圣何塞,241ms,12.78
8.219.239.79,2096,TRUE,SIN,亚太,新加坡,205ms,12.75
8.219.239.79,2096,TRUE,SIN,亚太,新加坡,209ms,12.73
45.205.0.20,2096,TRUE,SJC,北美洲,圣何塞,172ms,12.62
45.205.0.128,2096,TRUE,SJC,北美洲,圣何塞,353ms,12.43
206.238.236.113,2096,TRUE,SJC,北美洲,圣何塞,294ms,12.39
154.218.15.238,2096,TRUE,SJC,北美洲,圣何塞,174ms,11.9
154.218.15.184,2096,TRUE,SJC,北美洲,圣何塞,193ms,11.82
206.238.236.38,2096,TRUE,SJC,北美洲,圣何塞,334ms,11.72
8.222.145.43,2096,TRUE,SIN,亚太,新加坡,199ms,11.57
206.238.237.114,2096,TRUE,SJC,北美洲,圣何塞,216ms,11.56
8.219.110.248,2096,TRUE,SIN,亚太,新加坡,203ms,11.49
206.238.236.146,2096,TRUE,SJC,北美洲,圣何塞,351ms,11.47
45.205.0.139,2096,TRUE,SJC,北美洲,圣何塞,154ms,11.44
206.238.236.103,2096,TRUE,SJC,北美洲,圣何塞,297ms,11.43
45.205.0.232,2096,TRUE,SJC,北美洲,圣何塞,332ms,11.32
206.238.236.80,2096,TRUE,SJC,北美洲,圣何塞,437ms,11.3
154.218.15.240,2096,TRUE,SJC,北美洲,圣何塞,306ms,11.15
70.34.199.167,2096,TRUE,FRA,欧洲,法兰克福,281ms,11.04
45.205.0.26,2096,TRUE,SJC,北美洲,圣何塞,273ms,10.83
206.238.236.214,2096,TRUE,SJC,北美洲,圣何塞,195ms,10.75
45.205.0.217,2096,TRUE,SJC,北美洲,圣何塞,321ms,10.74
8.219.123.11,2096,TRUE,SIN,亚太,新加坡,200ms,10.72
154.218.15.146,2096,TRUE,SJC,北美洲,圣何塞,323ms,10.59
45.205.0.38,2096,TRUE,SJC,北美洲,圣何塞,206ms,10.54
206.238.236.2,2096,TRUE,SJC,北美洲,圣何塞,268ms,10.49
206.238.236.54,2096,TRUE,SJC,北美洲,圣何塞,319ms,10.27
45.205.0.156,2096,TRUE,SJC,北美洲,圣何塞,174ms,10.11
45.205.0.230,2096,TRUE,SJC,北美洲,圣何塞,269ms,9.83
206.238.236.158,2096,TRUE,SJC,北美洲,圣何塞,288ms,9.82
206.238.236.175,2096,TRUE,SJC,北美洲,圣何塞,336ms,9.31
206.238.237.166,2096,TRUE,SJC,北美洲,圣何塞,288ms,9.03
45.205.0.207,2096,TRUE,SJC,北美洲,圣何塞,427ms,8.89
206.238.237.193,2096,TRUE,SJC,北美洲,圣何塞,306ms,8.06
206.238.236.211,2096,TRUE,SJC,北美洲,圣何塞,243ms,7.99
45.205.0.249,2096,TRUE,SJC,北美洲,圣何塞,336ms,7.75
206.238.237.249,2096,TRUE,SJC,北美洲,圣何塞,330ms,7.72
